李 娇	nr nr	o o	O O	OTHERS
取 消	v v	o o	O O	navigation.cancel_navigation

哈 哈 哈	o o o	o o o	O O O	OTHERS
是 的	v uj	o o	O O	OTHERS
九 号 公 馆	m m n n	song song song song	B-destination I-destination I-destination E-destination	navigation.navigation
播 放 九 号 公 馆	v v m m n n	o o song song song song	O O B-song I-song I-song E-song	music.play

放 一 首 歌	v m m m	o o o o	O O O O	music.play
歌 曲 用 车 上 的 音 箱 放	n n p s s uj n n v	o o o o o o o o o	O O O O O O O O O	music.play
关 掉 音 乐	v v n n	o o o o	O O O O	music.pause

吸 口 琴	v n n	o instrument instrument	O O O	OTHERS
常 码 头 咯	d n n o	o o o o	O O O O	OTHERS
我 要 听 又 见 山 里 红	r v v d v nr nr nr	song song o song song song song song	O O O B-song I-song I-song I-song E-song	music.play
我 要 听 山 里 红	r v v nr nr nr	song song o song song song	O O O B-song I-song E-song	music.play
听 云 朵 的 歌	v n n uj n	o singer singer o o	O B-singer E-singer O O	music.play

音 乐	n n	o o	O O	music.play
播 放 刘 德 华 的 音 乐	v v nr nr nr uj n n	o o singer singer singer o o o	O O B-singer I-singer E-singer O O O	music.play
改 名 字 吗	i i i y	o o o o	O O O O	OTHERS
播 放 音 乐	v v n n	o o o o	O O O O	music.play
阿 楠	nr nr	singer singer	O O	OTHERS
凌 度	ns ns	o o	O O	OTHERS
关 闭	v v	o o	O O	music.pause

垦 利 县	ns ns ns	o o o	B-destination I-destination E-destination	navigation.navigation
黎 咀 大 桥	ns ns ns ns	o o o o	B-destination I-destination I-destination E-destination	navigation.navigation
利 津 大 桥	ns ns ns ns	o o o o	B-destination I-destination I-destination E-destination	navigation.navigation
梅 毅	nr nr	o o	O O	OTHERS
取 消	v v	o o	O O	navigation.cancel_navigation
一	m	o	O	OTHERS
1 1	m m	o o	O O	OTHERS
肖 旭	nr nr	o o	O O	OTHERS

快 点 哦	d d zg	o o o	O O O	OTHERS
到 燕 南 园	v ns ns ns	o o o o	O B-destination I-destination E-destination	navigation.navigation
到 大 连 医 大 一 院	v d d j j m n	o o o o o o o	O B-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
啊 哈 哈 那 我 刚 到 他 被 我 就 在 延 庆 这 边 便 利 店 这 边 找 个 位 置	zg o o r r d v r p r d p ns ns r r n n n r r v q v v	o o o o o o o o o o o o o o o o o o o o o o o o o	O O O O O O O O O O O O O O O O O O O O O O O O O	OTHERS
可 以	c c	o o	O O	OTHERS

放 首 歌	v n n	o o o	O O O	music.play
放 歌	v v	o o	O O	music.play
请 放	v v	o o	O O	music.play
请 放 歌	v v v	o o o	O O O	music.play

想 与 你 好	v p l l	o o o o	O O O O	OTHERS
请 帮 我 放 一 首 t h e   w e l l   i n   t h e   b e s t   g i r l s   r u n   a n d   r u n	v v r v m m eng eng eng x eng eng eng eng x eng eng x eng eng eng x eng eng eng eng x eng eng eng eng eng x eng eng eng x eng eng eng x eng eng eng	o song song o o o o o o o o o o o o o o o o o o o o singer singer singer o singer singer o o o o o o o o o o o o o o o	O O O O O O B-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song I-song E-song	music.play
暂 时 不 放 歌 曲	d d d v n n	o o o o o o	O O O O O O	music.pause
暂 停 播 放 歌 曲	d d n n n n	o o o o o o	O O O O O O	music.pause

的 理 想	uj n n	o song song	O O O	OTHERS
放 一 首 理 想	v m m n n	o o o song song	O O O B-song E-song	music.play
播 放 一 首 成 都	v v m m ns ns	o o o o song song	O O O O B-song E-song	music.play
播 放	v v	o o	O O	music.play
打 开 酷 我 音 乐	v v d r n n	o o o o o o	O O O O O O	OTHERS

请 帮 我 放 一 首 半 壶 纱	v v r v m m m q n	o song song o o o song song song	O O O O O O B-song I-song E-song	music.play
请 播 放 一 首	v v v m m	o o o o o	O O O O O	music.play
给 我 播 小 苹 果	p r v nr nr nr	song song o song song song	O O O B-song I-song E-song	music.play
给 我 剥 皮 皮 虾	p r v nr nr nr	song song o song song song	O O O B-song I-song E-song	music.play
请 拨 皮 皮 虾 我 们 走	v v nr nr nr r r v	o o song song song song song song	O O B-song I-song I-song I-song I-song E-song	music.play
太 平 机 场	ns ns n n	o o o o	B-destination I-destination I-destination E-destination	navigation.navigation

豆 豆	n n	o o	O O	OTHERS
阿 做	j v	o o	O O	OTHERS
帮 我 找	v r v	song song o	O O O	OTHERS
阿 丁	nrt nrt	o o	O O	OTHERS
我 要 听 歌	r v v v	song song o o	O O O O	music.play
八 戒 八 戒 我 的	n n n n r uj	song song song song o o	B-song I-song I-song E-song O O	music.play
嗯 嗯	e e	o o	O O	OTHERS
小 王 我 想 听 八 戒 八 戒 心 肠 的 歌	nr nr r v v n n n n n n uj n	o o song song o song song song song o o o o	O O O O O B-song I-song I-song E-song O O O O	music.play
我 想 听 远 走 高 飞	r v v i i i i	song song o song song singer singer	O O O B-song I-song I-song E-song	music.play
算 了 吧	l l l	o o o	O O O	OTHERS
我 想 听 歌	r v v v	song song o o	O O O O	music.play
我 想 听 小 苹 果	r v v nr nr nr	song song o song song song	O O O B-song I-song E-song	music.play
关 滨	ns ns	o o	O O	OTHERS
冰 英	nr nr	o o	O O	OTHERS
钰 童	g nr	o o	O O	OTHERS
关 闭 音 乐	v v n n	o o o o	O O O O	music.pause
我 想 去 中 国 人 民 保 险	r v v ns ns n n n n	song song o song song song o o o	O O O B-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
我 想 去 中 国 人 民 保 险	r v v ns ns n n n n	song song o song song song o o o	O O O B-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation

要 如 果	v c c	o o o	O O O	OTHERS
小 睿	nrt nrt	singer singer	O O	OTHERS
每 年	r r	o o	O O	OTHERS
去 合 正	v a a	o o o	O B-destination E-destination	navigation.navigation
他 叫 尼 科	r v nrt nrt	o o o o	O O O O	OTHERS
让 你 睡 觉	v r v v	o o scene scene	O O O O	OTHERS
拜 拜	ns ns	o o	O O	OTHERS
关 闭 音 乐	v v n n	o o o o	O O O O	music.pause
打 电 话 给	l l l p	song song song o	O O O O	phone_call.make_a_phone_call

来 一 首 王 菲 的 那 年	v m m nr nr uj r r	o o o singer singer o song song	O O O B-singer E-singer O B-song E-song	music.play
来 一 首 王 菲 的 那 年 匆 匆	v m m nr nr uj r r z z	o o o singer singer o song song song song	O O O B-singer E-singer O B-song I-song I-song E-song	music.play
来 一 首 王 菲 的 红 豆	v m m nr nr uj n n	o o o singer singer o song song	O O O B-singer E-singer O B-song E-song	music.play
恒 晨	nz nz	o o	O O	OTHERS
你 一 定 有 都 这 么 烦	r d d v d r r v	o o o o o o o o	O O O O O O O O	OTHERS
你 要	r v	o o	O O	OTHERS

从	p	o	O	OTHERS
广 州 市	ns ns ns	o o o	B-destination I-destination E-destination	navigation.navigation
打 电 话 给 1 5 3 0 0 0 0 4 7 7 7	l l l p m m m m m m m m m m m	song song song o o o o o o o o o o o o	O O O O B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call
打 电 话 给 1 5 3 0 0 0 0 4 7 7 7	l l l p m m m m m m m m m m m	song song song o o o o o o o o o o o o	O O O O B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call
丁 浩	nr nr	o o	O O	OTHERS

导 航 到 双 骑 龙 村 村 委 会	v v v n n n n j j j	o o o o o o o o o o	O O O B-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
在	p	o	O	OTHERS
放 快 歌 吗	v v n y	o emotion emotion o	O B-emotion E-emotion O	music.play
我 选 择 出 租 车 都 能 染 观 点	r v v n n n d v v n n	o song song o o o o o o o o	O O O O O O O O O O O	OTHERS
打 电 话 见 面 精 神	l l l n n n n	song song song o o o o	O O O O O O O	phone_call.make_a_phone_call

六 哲 的 歌 曲	j j uj n n	singer singer o o o	B-singer E-singer O O O	music.play
错 错 错 六 哲 的 错 错 错	n n n j j uj n n n	song song song singer singer o song song song	B-song I-song E-song B-singer E-singer O B-song I-song E-song	music.play
郑 源 的 歌 曲	ns ns uj n n	singer singer o o o	B-singer E-singer O O O	music.play

放 一 首 钢 琴 的 名 起 来 听 一 下	v m m n n uj n v v v m m	o o o instrument instrument o o o o o o o	O O O B-instrument E-instrument O O O O O O O	music.play
放 刘 德 华 的 歌 来 听	v nr nr nr uj n v v	o singer singer singer o o o o	O B-singer I-singer E-singer O O O O	music.play
放 谭 咏 麟 的 歌	v vn n n uj n	o singer singer singer o o	O B-singer I-singer E-singer O O	music.play

导 航 到 宝 日 勿 苏 镇	v v v nr nr nr ns ns	o o o o o o o o	O O O B-destination I-destination I-destination I-destination E-destination	navigation.navigation
导 航 到 巴 林 右 旗 宝 日 勿 苏 镇	v v v ns ns ns ns nr nr nr ns ns	o o o o o o o o o o o o	O O O B-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
把 电 话 发 过 来 然 后 过 去 取	p n n l l l c c t t v	o o o o o o o o o o o	O O O O O O O O O O O	OTHERS
打 电 话	l l l	song song song	O O O	phone_call.make_a_phone_call
妈 了 个 小 逼	n ul q a v	o o o o o	O O O O O	OTHERS
* 你	x r	o o	O O	OTHERS
日 你 妹	m r n	o o o	O O O	OTHERS
日 你 大 爷	m r n n	o o o o	O O O O	OTHERS
日 你	m r	o o	O O	OTHERS

帮 我 导 航 到 卫 校	v r v v v n n	song song o o o o o	O O O O O B-destination E-destination	navigation.navigation
帮 我 导 航 到 镇 坪 裕 祥 花 园	v r v v v ns ns nr nr n n	song song o o o o o o o o o	O O O O O B-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
取 消	v v	o o	O O	navigation.cancel_navigation

播 放 张 宇 的 歌	v v nr nr uj n	o o singer singer o o	O O B-singer E-singer O O	music.play
播 放 刘 德 华 的 冰 雨	v v nr nr nr uj n n	o o singer singer singer o song song	O O B-singer I-singer E-singer O B-song E-song	music.play
播 放 陕 西 秦 腔 戏	v v ns ns n n n	o o o o o o o	O O O O O O O	OTHERS

打 电 话 问 问	l l l n n	song song song o o	O O O O O	phone_call.make_a_phone_call
我 要 播 丁 当	r v v o o	song song o singer singer	O O O B-singer E-singer	music.play
高 安 市	ns ns ns	singer singer o	B-destination I-destination E-destination	navigation.navigation
月 亮 湾	n n zg	o o o	B-destination I-destination E-destination	navigation.navigation

小 红	nr nr	o o	O O	OTHERS
从 乌 鲁 木 齐	p ns ns ns ns	o o o o o	O O O O O	OTHERS
刺 儿	n n	o o	O O	OTHERS
红 颜	nr nr	o o	O O	OTHERS
呼 叫	v v	o o	O O	phone_call.make_a_phone_call
呼 叫 办 世 触 晨 平	v v nz nz nz nz nz	o o o o o o o	O O B-contact_name I-contact_name I-contact_name I-contact_name E-contact_name	phone_call.make_a_phone_call
我 要 去 楚 风 酒 楼	r v v nr nr n n	song song o o o o o	O O O B-destination I-destination I-destination E-destination	navigation.navigation

打 电 话 给	l l l p	song song song o	O O O O	phone_call.make_a_phone_call
打 电 话 给	l l l p	song song song o	O O O O	phone_call.make_a_phone_call
郭 达	nr nr	o o	B-contact_name E-contact_name	phone_call.make_a_phone_call
播 放 刘 德 华 的 歌 曲	v v nr nr nr uj n n	o o singer singer singer o o o	O O B-singer I-singer E-singer O O O	music.play
拖 拖	v v	o o	O O	OTHERS

导 航 到 八 里 店 那 个 雪 佛 兰 4 s 店	v v v m m n r r nr nr nr n n n	o o o o o o song song o o o o o o	O O O B-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
导 航 到 八 里 店 雪 佛 兰 4 s 店	v v v m m n nr nr nr n n n	o o o o o o o o o o o o	O O O B-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
打 电 话	l l l	song song song	O O O	phone_call.make_a_phone_call
马 斌	nr nr	singer singer	B-contact_name E-contact_name	phone_call.make_a_phone_call
你 是 傻 *	r v a x	o o o o	O O O O	OTHERS
你 是 读 仇	r v v v	o o o o	O O O O	OTHERS
豆 种 是 什 么	n n v r r	o o o o o	O O O O O	OTHERS

我 要 去 新 螺 蛳 湾	r v v a n n zg	song song o o o o o	O O O B-destination I-destination I-destination E-destination	navigation.navigation
我 要 去 金 泉 小 区	r v v nz nz n n	song song o o o o o	O O O B-destination I-destination I-destination E-destination	navigation.navigation
单 田 芳	nr nr nr	o o o	O O O	OTHERS
1 9 3 4 年	m m m m m	o o o o o	O O O O O	OTHERS
二 丫	m n	o o	O O	OTHERS
单 田 芳 的 作 品	nr nr nr uj n n	o o o o o o	O O O O O O	OTHERS
封 神 演 义	l l l l	o o o o	O O O O	OTHERS
打 电 话	l l l	song song song	O O O	phone_call.make_a_phone_call

播 放 歌 曲	n n n n	o o o o	O O O O	music.play
导 航 到 碧 桂 园 影 片	v v v nr nr nr n n	o o o o o o o o	O O O B-destination I-destination I-destination I-destination E-destination	navigation.navigation
打 电 话	l l l	song song song	O O O	phone_call.make_a_phone_call

你 好 叮 当	l l o o	o o o o	O O O O	OTHERS
哦 放 一 首 未 了 情	e v m m i i i	o o o o song song song	O O O O B-song I-song E-song	music.play
放 一 首 刘 欢 的 情 愿	v m m nr nr uj n n	o o o singer singer o song song	O O O B-singer E-singer O B-song E-song	music.play
你 好 叮 当	l l o o	o o o o	O O O O	OTHERS
不 要 问 我 放 一 首 孙 楠 的 歌 曲	df df v r v m m nr nr uj n n	o o o o o o o singer singer o o o	O O O O O O O B-singer E-singer O O O	music.play

打 电 话 打 不 通	l l l v a a	song song song o o o	O O O O O O	OTHERS
魏 鹏	nr nr	o o	O O	OTHERS
打 开 导 航	v v v v	o o o o	O O O O	navigation.open
我 要 听 刘 德 华 的 冰 雨	r v v nr nr nr uj n n	song song o singer singer singer o song song	O O O B-singer I-singer E-singer O B-song E-song	music.play
我 要 去 万 达 广 场	r v v nz nz n n	song song o o o o o	O O O B-destination I-destination I-destination E-destination	navigation.navigation
我 要	r v	song song	O O	OTHERS

打 开 蓝 牙	v v ns ns	o o o o	O O O O	OTHERS
打 电 话 给 6 0 0 0 0 2 8	l l l p m m m m m m m	song song song o o o o o o o o	O O O O B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call
电 话 给 6 5 8 2 8	n n p m m m m m	o o o o o o o o	O O O B-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call
开 蓝 牙 通 讯 人 通 讯 录	v ns ns nz nz n n n n	o o o o o o o o o	O O O O O O O O O	OTHERS
我 想 听 相 声	r v i i i	song song o o o	O O O O O	OTHERS
到 环 球 购 物 中 心	v n n n n n n	o o o o o o o	O B-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
关 闭 导 航	v v v v	o o o o	O O O O	navigation.cancel_navigation

导 航 到 中 南 国 际 城	v v v ns ns n n n	o o o o o o o o	O O O B-destination I-destination I-destination I-destination E-destination	navigation.navigation
播 放 音 乐	v v n n	o o o o	O O O O	music.play
打 开 蓝 牙	v v ns ns	o o o o	O O O O	OTHERS
拨 打 1 0 0 8 6	v v m m m m m	o o o o o o o	O O B-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call

请 播 放 贝 瓦 儿 歌 请 播 放 强 军 战 歌	v v v nr nr n n v v v n n n n	o o o singer singer age age o o o o o song song	O O O B-singer I-singer I-singer E-singer O O O O O O O	music.play
请 播 放 儿 歌 小 海 军	v v v n n a n n	o o o age age song song song	O O O B-age E-age B-song I-song E-song	music.play
关 闭 音 乐	v v n n	o o o o	O O O O	music.pause

我 要 听 欢 快 的 歌 曲	r v v a a uj n n	song song o emotion emotion o o o	O O O B-emotion E-emotion O O O	music.play
我 要 听 民 谣	r v v n n	song song o style style	O O O B-style E-style	music.play
你 是 傻 * 吧	r v a x y	o o o o o	O O O O O	OTHERS
傻 *	a x	o o	O O	OTHERS
* 你 大 爷	x r n n	o o o o	O O O O	OTHERS
你 妈 了 个 逼	r n ul q v	o o o o o	O O O O O	OTHERS
你 会 个 球	r v n n	o o o o	O O O O	OTHERS
喵 喵 喵	o o o	o o o	O O O	OTHERS

我 去 北 京 京 客 隆 廊 坊 店	r v ns ns nz nz nz ns ns n	o o o o o o o o o o	O O B-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
我 上 廊 坊 北 京 京 客 隆	r v ns ns ns ns nz nz nz	o o o o o o o o o	O O B-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
打 个 电 话 了 是 吧	v q n n ul v y	o o o o o o o	O O O O O O O	phone_call.make_a_phone_call

不 一 样	d r r	song song song	O O O	OTHERS
扇 子	n n	o o	O O	OTHERS
帮 我 找	v r v	song song o	O O O	OTHERS
阳 光	nr nr	o o	O O	OTHERS
酒 甲 泪	n n n	o o o	O O O	OTHERS
打 电 话 给 吗	l l l p y	song song song o o	O O O O B-contact_name	phone_call.make_a_phone_call
打 电 话 给 吗	l l l p y	song song song o o	O O O O B-contact_name	phone_call.make_a_phone_call
麦 当 劳	nrt nrt nrt	o o o	B-destination I-destination E-destination	navigation.navigation
退 出	v v	o o	O O	navigation.cancel_navigation

拨 打 电 话 6 6 1 2 8 4	v v n n m m m m m m	o song song song o o o o o o	O O O O B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call
6 6 1 2 8 4 呼 叫	m m m m m m v v	o o o o o o o o	B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num O O	phone_call.make_a_phone_call
兴 田 街	ns ns ns	o o o	B-destination I-destination E-destination	navigation.navigation
兴 田 街	ns ns ns	o o o	B-destination I-destination E-destination	navigation.navigation

张 合	nr nr	o o	O O	OTHERS
播 放 一 首 樱 花 的 眼 泪	v v m m n n uj n n	o o o o song song song song song	O O O O B-song I-song I-song I-song E-song	music.play
樱 花 树 下 的 约 定	n n n f uj v v	song song song song song song song	B-song I-song I-song I-song I-song I-song E-song	music.play
播 放 樱 花 树 下 的 约 定	v v n n n f uj v v	o o song song song song song song song	O O B-song I-song I-song I-song I-song I-song E-song	music.play
播 放 樱 花 树 下 的 约 定	v v n n n f uj v v	o o song song song song song song song	O O B-song I-song I-song I-song I-song I-song E-song	music.play

妈 妈 打 电 话	n n l l l	o o song song song	B-contact_name E-contact_name O O O	phone_call.make_a_phone_call
导 航 到 华 山 路 3 1 0 国 道 口	v v v nz nz nz m m m n n q	o o o o o o o o o o o o	O O O B-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
关 闭 导 航	v v v v	o o o o	O O O O	navigation.cancel_navigation
导 航 到 上 海 市 场	v v v ns ns n n	o o o o o o o	O O O B-destination I-destination I-destination E-destination	navigation.navigation

打 开 蓝 牙 音 乐	v v ns ns n n	o o o o o o	O O O O O O	music.play
播 放 蓝 牙 里 面 的 音 乐	v v ns ns f f uj n n	o o o o song song o o o	O O O O O O O O O	music.play
播 放 蓝 牙 里 面 的 音 乐	v v ns ns f f uj n n	o o o o song song o o o	O O O O O O O O O	music.play

停 止 放 歌	v v v v	o o o o	O O O O	music.pause
你 讲 个 笑 话 吧	r v q n n y	o o o o o o	O O O O O O	OTHERS
不 是 放 广 播 的 吗	c c v vn vn uj y	o o o o o o o	O O O O O O O	OTHERS
我 要 听 蝰 蛇 音 效	r v v n n n n	song song o o o o o	O O O O O O O	OTHERS
把 车 熄 火	p n v v	o o o o	O O O O	OTHERS
放 歌	v v	o o	O O	music.play

九 龙 仓	nz nz nr	o o o	B-destination I-destination E-destination	navigation.navigation
打 电 话 给 1 5 1 0 0 0 0 0 0 6 1	l l l p m m m m m m m m m m m	song song song o o o o o o o o o o o o	O O O O B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call
打 电 话 给 1 5 1 0 0 0 0 0 2 7 2	l l l p m m m m m m m m m m m	song song song o o o o o o o o o o o o	O O O O B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call

关 于 高 跟 鞋 吗 屌 啊	p p n n n y y y	o o o o o o o o	O O O O O O O O	OTHERS
播 放 音 乐	v v n n	o o o o	O O O O	music.play
你 好 啊	l l zg	o o o	O O O	OTHERS
播 放 碎 心 石	v v n n n	o o song song song	O O B-song I-song E-song	music.play
播 放 孟 庭 苇 的 歌	v v nr nr nr uj n	o o singer singer singer o o	O O B-singer I-singer E-singer O O	music.play

我 要 去 洋 塘	r v v n n	song song o o o	O O O B-destination E-destination	navigation.navigation
我 要 去 阳 长 镇	r v v nr nr nr	song song o o o o	O O O B-destination I-destination E-destination	navigation.navigation
哎 呀 我 觉 得 好 冷 哦	e e r v v a a e	o o o o o o o o	O O O O O O O O	OTHERS
不 想 跟 你 说 话	v v p r v v	o o o o o o	O O O O O O	OTHERS
爱 探 险 的 朵 拉	v n n uj q q	o o o o o o	O O O O O O	OTHERS
打 电 话 不 就 结 了	l l l d d v ul	song song song o o song song	O O O O O O O	phone_call.make_a_phone_call
e m i l y	eng eng eng eng eng	o o o o o	O O O O O	OTHERS

打 电 话 给 6 8 9 1 9 0	l l l p m m m m m m	song song song o o o o o o o	O O O O B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call
继 续 播 放 喜 马 拉 雅 歌 曲	v v v v ns ns ns ns n n	o o o o song song song song o o	O O O O B-song I-song I-song E-song O O	music.play
打 电 话 给 6 8 9 1 9 0	l l l p m m m m m m	song song song o o o o o o o	O O O O B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call

来 一 首 那 个 云 菲 菲 的 歌	v m m r r nr nr nr uj n	o o o song song singer singer singer o o	O O O O O B-singer I-singer E-singer O O	music.play
再 来 一 个 菲 菲 唱 的 那 个 船 鞋	d d d d nrt nrt v uj r r n n	o o o o o o o o song song o o	O O O O B-singer E-singer O O O O B-song E-song	music.play
新 飞 飞 唱 的 那 个 仓 颉	nz nz v v uj r r nr nr	o o o o o song song song song	B-singer I-singer E-singer O O O O B-song E-song	music.play

播 放	v v	o o	O O	music.play
播 放	v v	o o	O O	music.play
唱 曲 她 播 放	n n r v v	o o o o o	O O B-song O O	music.play

请 帮 我 导 航 到 厦 门 北 站 商 务 营 运 中 心	v v r v v v ns ns ns ns n n n n n n	o song song o o o o o o o o o o o o o	O O O O O O B-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination I-destination E-destination	navigation.navigation
5 8 8 5 8 8	m m m m m m	o o o o o o	O O O O O O	OTHERS
啊	zg	o	O	OTHERS
好 谢 谢	a nr nr	o o o	O O O	OTHERS
呼 叫 6 2 4 6 5 电 话	v v m m m m m n n	o o o o o o o o o	O O B-phone_num I-phone_num I-phone_num I-phone_num E-phone_num O O	phone_call.make_a_phone_call
呼 叫 1 8 3 0 0 0 0 0 5 6 3	v v m m m m m m m m m m m	o o o o o o o o o o o o o	O O B-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num I-phone_num E-phone_num	phone_call.make_a_phone_call

播 放 体 面	v v n n	o o song song	O O B-song E-song	music.play
播 放 英 文 文 的 体 验	v v nz nz ng uj n n	o o language language o o o o	O O B-singer I-singer E-singer O B-song E-song	music.play
播 放 稳 稳 的 体 面	v v a a uj n n	o o o o o song song	O O B-singer E-singer O B-song E-song	music.play

落 王 新 天 地	v nr nz nz nz	o o o o o	B-destination I-destination I-destination I-destination E-destination	navigation.navigation
